mode,k,k_squared,ref_initial_real,ref_initial_imag,pred_initial_real,pred_initial_imag,initial_complex_abs_error,final_complex_abs_error,mean_complex_abs_error_over_time,relative_complex_error_over_time,ref_final_amplitude,pred_final_amplitude,final_amplitude_ratio_pred_over_ref,exact_vs_reference_relative_error_by_mode,fitted_decay_rate,decay_rate_error,valid_decay_fit
30,4.71238898038469,22.206609902451056,0.04905164616022794,5.539188899228442e-16,9.956955909804871e-05,1.4305114747842924e-06,0.04895207662203159,9.957983461329172e-05,0.0008101683946339586,0.9974837305867192,1.3875126267413304e-15,9.957983461445456e-05,71768597052.93256,2.846467848460419e-13,2.1512883104170195e-12,-22.206609902448903,True
31,4.869468613064179,23.711724573617182,-0.038326209970300534,1.2642339432267224e-15,-0.038166204501534885,-0.002524881029274741,0.0025299458417192998,0.00011460881139293076,0.00022491962948554777,0.17636602745672997,7.162785076757095e-16,0.0001146088113922197,160005933675.3241,3.9129469235726213e-13,0.5432685242943448,-23.168456049322838,True
32,5.026548245743669,25.266187266788755,0.029945938776290995,-0.0,0.0010434791538407651,-0.0005369529164177568,0.02890744697585408,0.00023873650549764727,0.0005372860113508566,0.9601877137355318,1.0293469641424102e-15,0.00023873650549834975,231930062277.15512,4.09275938566505e-13,0.27057615597587387,-24.99561111081288,True
33,5.183627878423159,26.869997981965778,-0.023398080102355855,8.921357576296973e-16,-0.0009622488488684345,-2.8248932664784844e-05,0.02243584903758179,0.00012278716282783158,0.0003890445873459446,0.9529594393802862,1.6791666715313248e-15,0.00012278716282749394,73123868469.54123,6.986854018509149e-13,0.2759483766039129,-26.594049605361864,True
34,5.340707511102649,28.523156719148254,0.01828193686880975,-8.017675065530305e-16,0.0004697971086844002,-4.785699994153102e-05,0.017812204050220222,0.00022759423250827353,0.00035059236883058044,0.9719955305740052,1.5702545477383557e-15,0.0002275942325089387,144940979688.12994,8.11394013552934e-13,0.16185682090671233,-28.36129989824154,True
35,5.497787143782138,30.22566347833616,-0.014284483611204195,-1.1861171766991419e-15,-0.0002104103658140729,-0.00018315040570624896,0.014075264892275242,8.379664122486755e-05,0.00022665520341730753,0.9835458673357702,7.153949972876626e-16,8.379664122536207e-05,117133390005.61557,8.12210322781403e-13,0.34785443184073056,-29.87780904649543,True
36,5.654866776461628,31.977518259529518,0.011161085612821583,2.8666305440516737e-16,0.0005436282064048906,-0.00012694543305044647,0.0106182162777015,4.835287085694271e-05,0.00017103997874179188,0.9466216547822616,4.703421974179466e-16,4.835287085648212e-05,102803599425.9637,8.1723560629472e-13,0.40321635885501317,-31.574301900674506,True
37,5.811946409141117,33.77872106272833,-0.00872065026801258,-1.3877787807814457e-17,-0.000223273815424474,0.00043361106140465695,0.00850843258947095,8.185386525560427e-05,0.00016430841218370833,0.9759089513683666,1.4997009227210928e-16,8.18538652556465e-05,545801259541.3285,8.01705146798277e-13,0.2282108118431993,-33.55051025088513,True
38,5.969026041820607,35.62927188793258,0.006813819793385759,9.471590178833367e-16,0.0013797270548111407,0.00014671663842896526,0.0054360730001924195,0.00013059824871435003,0.00015097051406727632,0.8064705458235563,4.619293991017018e-16,0.00013059824871448206,282723396623.9256,1.225117035947962e-12,0.2782745061478313,-35.35099738178475,True
39,6.1261056745000975,37.529170735142294,-0.00532394078164453,3.642919299551295e-17,-0.000386457101693091,0.0006574477142719545,0.004981062395391988,2.4822950174251095e-05,9.995392611377888e-05,0.940258217007277,5.006446952451076e-16,2.482295017429218e-05,49581969828.20174,1.6785047022905179e-12,0.5617987088417518,-36.967372026300545,True
